file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\euler\Utils.java,io.vavr.collection.euler.Utils$Anonymous1,anonymous,0,3,1,3,0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,13,2,0,0,0,0,0,0,2,0,2,1,0,0,0,6,-1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\euler\Utils.java,io.vavr.collection.euler.Utils,class,10,21,1,45,78,0.0,0.0,13,12,0,1,0,12,12,0,0,0,2,2,0,0,0,2,2,0,26,68,14,0,4,1,5,1,20,4,15,16,1,1,0,12,58,16,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\HashArrayMappedTrieTest.java,io.vavr.collection.HashArrayMappedTrieTest$Comparator,innerclass,5,3,1,16,0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,2,0,0,2,0,0,1,0,1,21,0,0,0,0,0,0,0,4,0,5,1,0,0,2,14,2,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\HashArrayMappedTrieTest.java,io.vavr.collection.HashArrayMappedTrieTest$WeakInteger,innerclass,1,8,1,3,0,0.0,0.0,4,0,3,0,0,1,4,0,0,0,1,0,0,0,0,1,1,0,2,22,5,0,4,0,0,0,1,2,1,2,1,0,0,0,17,2,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\HashArrayMappedTrieTest.java,io.vavr.collection.HashArrayMappedTrieTest,class,13,20,1,41,105,0.0,0.0,15,0,11,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,18,158,3,5,0,0,0,2,85,28,1,22,1,0,2,4,52,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\HashMapTest.java,io.vavr.collection.HashMapTest,class,15,29,4,45,351,0.0,0.0,27,0,9,0,17,1,27,0,2,0,0,0,0,0,0,0,0,0,26,103,18,1,1,0,0,9,43,15,3,12,1,0,0,0,75,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\HashMultimapTest.java,io.vavr.collection.HashMultimapTest,class,16,54,4,34,153,0.0,0.0,18,0,4,0,13,1,18,0,2,0,0,0,0,0,0,0,0,0,48,167,38,0,0,0,0,6,12,3,1,3,1,0,0,0,55,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\HashSetTest.java,io.vavr.collection.HashSetTest$Anonymous7,anonymous,0,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\HashSetTest.java,io.vavr.collection.HashSetTest,class,27,77,5,95,2850,0.0,0.0,76,0,36,0,40,0,76,0,1,0,0,0,0,0,0,0,0,0,59,284,40,0,1,0,0,59,86,33,3,41,0,7,0,6,125,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\HashSetTest.java,io.vavr.collection.HashSetTest$Anonymous1,anonymous,4,2,1,9,1,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,1,1,4,1,8,0,0,0,3,18,-1,0
