Unnamed: 0,HashId,ProjectName,CreatedAt,Age,PrimaryLanguage,Stargazers,TotalOfReleases,CBO,DIT,LOC,LCOM
71,MDEwOlJlcG9zaXRvcnk2ODM0NzAz,EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,24/11/2012,9,Java,17926,0,2.0,1.0,894,0
72,MDEwOlJlcG9zaXRvcnk3MzYxNDcyMg==,CarGuo/GSYVideoPlayer,13/11/2016,5,Java,17794,40,2.0,1.0,29246,0
73,MDEwOlJlcG9zaXRvcnk4MjA1NjAy,mybatis/mybatis-3,14/02/2013,9,Java,17675,37,2.0,1.0,53603,0
74,MDEwOlJlcG9zaXRvcnk0OTY2MjIyMg==,oracle/graal,14/01/2016,6,Java,17443,32,5.0,1.0,102413.0,1.0
75,MDEwOlJlcG9zaXRvcnkxMjYzNjU5NjU=,linlinjava/litemall,22/03/2018,4,Java,17357,8,3.0,1.0,90876,1.0
76,MDEwOlJlcG9zaXRvcnk0OTg3NjQ3Ng==,apache/shardingsphere,18/01/2016,6,Java,17296,49,-,-,-,-
77,MDEwOlJlcG9zaXRvcnkxMzQwNDUxNQ==,brettwooldridge/HikariCP,08/10/2013,8,Java,17229,0,3.0,1.0,10524,0
78,MDEwOlJlcG9zaXRvcnkxNDkwMDEzNjU=,doocs/leetcode,16/09/2018,3,Java,17176,19,-,-,-,-
79,MDEwOlJlcG9zaXRvcnk3MDEwNzI0,dianping/cat,05/12/2012,9,Java,17147,3,4.0,1.0,100787,1.0
80,MDEwOlJlcG9zaXRvcnk4NzYyNDg3MA==,forezp/SpringCloudLearning,08/04/2017,5,Java,16863,0,4.0,1.0,3819,0
81,MDEwOlJlcG9zaXRvcnkzMTUzMzk5Nw==,facebook/fresco,02/03/2015,7,Java,16851,45,5.0,1.0,70389,0
82,MDEwOlJlcG9zaXRvcnkyODYyMjkw,nostra13/Android-Universal-Image-Loader,27/11/2011,10,Java,16794,0,3.0,1.0,7434,0.5
83,MDEwOlJlcG9zaXRvcnk2NzQ4MTk4Ng==,Tencent/tinker,06/09/2016,6,Java,16524,50,2.0,1.0,39122,0
84,MDEwOlJlcG9zaXRvcnk2OTk1MzQ0NQ==,shuzheng/zheng,04/10/2016,5,Java,16347,0,3.0,1.0,41742,0
85,MDEwOlJlcG9zaXRvcnk4OTgyMjUzMQ==,Anuken/Mindustry,30/04/2017,5,Java,15928,140,-,-,-,-
86,MDEwOlJlcG9zaXRvcnkxNzgwNDU4NA==,winterbe/java8-tutorial,16/03/2014,8,Java,15920,0,1.0,1.0,2081,0
87,MDEwOlJlcG9zaXRvcnk0NTc2MzA1,openzipkin/zipkin,06/06/2012,10,Java,15640,67,-,-,-,-
88,MDEwOlJlcG9zaXRvcnk0NDgwNDIxNg==,termux/termux-app,23/10/2015,6,Java,15456,89,4.0,1.0,24079,0
89,MDEwOlJlcG9zaXRvcnkyMzExMjUyNg==,android10/Android-CleanArchitecture,19/08/2014,8,Java,15196,0,4.0,1.0,2260,1.0
90,MDEwOlJlcG9zaXRvcnk1OTAxOTAw,LMAX-Exchange/disruptor,21/09/2012,9,Java,15168,13,3.0,1.0,13018,0
91,MDEwOlJlcG9zaXRvcnk4MTA1Nzg0Mg==,JeffLi1993/springboot-learning-example,06/02/2017,5,Java,15051,0,3.0,1.0,2964,0
92,MDEwOlJlcG9zaXRvcnkxNDg0OTY2ODc=,YunaiV/SpringBoot-Labs,12/09/2018,4,Java,15027,0,4.0,1.0,25934,0
93,MDEwOlJlcG9zaXRvcnkzNzY2NzA2,iBotPeaches/Apktool,19/03/2012,10,Java,14783,15,4.0,2.0,11607,3.0
94,MDEwOlJlcG9zaXRvcnk2NjE3OTc2NQ==,dyc87112/SpringBoot-Learning,21/08/2016,6,Java,14690,0,4.0,1.0,4070,0
95,MDEwOlJlcG9zaXRvcnkxNjAwNTQxMA==,hdodenhof/CircleImageView,17/01/2014,8,Java,14282,0,5.0,2.0,360,0
96,MDEwOlJlcG9zaXRvcnkyOTkzNTk1,medcl/elasticsearch-analysis-ik,16/12/2011,10,Java,14264,176,4.5,1.0,2051,1.0
97,MDEwOlJlcG9zaXRvcnkxNDkxMjE5NTQ=,openjdk/jdk,17/09/2018,3,Java,14055,0,2.0,1.0,3533.0,0
98,MDEwOlJlcG9zaXRvcnk3NjQxMzE4Ng==,alibaba/ARouter,14/12/2016,5,Java,13935,16,2.0,1.0,3165,0
99,MDEwOlJlcG9zaXRvcnk3NTY0MzA5Ng==,material-components/material-components-android,05/12/2016,5,Java,13934,59,4.0,1.0,84756,1.0
100,MDEwOlJlcG9zaXRvcnk1MzQ5NTY1,prestodb/presto,09/08/2012,10,Java,13873,0,-,-,-,-
101,MDEwOlJlcG9zaXRvcnk4ODk3MDU2NA==,Tencent/QMUI_Android,21/04/2017,5,Java,13773,35,3.0,1.0,58309,0
102,MDEwOlJlcG9zaXRvcnk3NDM1OTQ0Mg==,Tencent/APIJSON,21/11/2016,5,Java,13746,89,3.0,1.0,10584,6.0
103,MDEwOlJlcG9zaXRvcnkxNjg1MDAzOTc=,justauth/JustAuth,31/01/2019,3,Java,13733,45,2.0,1.0,5287,6.0
104,MDEwOlJlcG9zaXRvcnkxMTI3MTc5NjM=,android-hacker/VirtualXposed,01/12/2017,4,Java,13646,50,2.0,2.0,47736,0
105,MDEwOlJlcG9zaXRvcnkzMTg2NTE3Ng==,lgvalle/Material-Animations,08/03/2015,7,Java,13559,0,2.0,1.0,1010,0
106,MDEwOlJlcG9zaXRvcnk2NTk4NzA0Mw==,baomidou/mybatis-plus,18/08/2016,6,Java,13481,22,3.0,1.0,18507,0
107,MDEwOlJlcG9zaXRvcnkxMTEyNTU4OQ==,keycloak/keycloak,02/07/2013,9,Java,13471,24,4.0,1.0,481501,1.0
108,MDEwOlJlcG9zaXRvcnk4NTM3MTI2Mg==,williamfiset/Algorithms,18/03/2017,5,Java,13428,0,2.0,1.0,32427,3.0
109,MDEwOlJlcG9zaXRvcnkxMzMxMzQwMDc=,OpenAPITools/openapi-generator,12/05/2018,4,Java,13401,48,-,-,-,-
110,MDEwOlJlcG9zaXRvcnkzMjYxMDMzNg==,orhanobut/logger,20/03/2015,7,Java,13395,16,6.0,1.0,827,0
111,MDEwOlJlcG9zaXRvcnk2MjA3MTY3,mockito/mockito,13/10/2012,9,Java,13277,191,2.0,1.0,49191,0
112,MDEwOlJlcG9zaXRvcnkyNTIwMTM2MQ==,Konloch/bytecode-viewer,14/10/2014,7,Java,13239,58,3.0,1.0,18543,0
113,MDEwOlJlcG9zaXRvcnkyODU1MDg3Mg==,Bigkoo/Android-PickerView,28/12/2014,7,Java,13176,0,2.0,1.0,4421,0
114,MDEwOlJlcG9zaXRvcnk5MTkxNjE=,arduino/Arduino,17/09/2010,11,Java,13141,37,2.0,1.0,25793,0
115,MDEwOlJlcG9zaXRvcnkxOTExNTIz,eclipse-vertx/vert.x,17/06/2011,11,Java,13136,0,4.0,1.0,136210,1.0
116,MDEwOlJlcG9zaXRvcnk2NDA1NDQ3OA==,Curzibn/Luban,24/07/2016,6,Java,13046,6,1.0,1.0,1088,1.0
117,MDEwOlJlcG9zaXRvcnk1MDE2ODc=,antlr/antlr4,04/02/2010,12,Java,12914,27,3.0,1.0,40484,0
118,MDEwOlJlcG9zaXRvcnkyMzQxODUxNw==,apache/hadoop,28/08/2014,8,Java,12914,0,-,-,-,-
119,MDEwOlJlcG9zaXRvcnkxNjM3MjExOTI=,zhisheng17/flink-learning,01/01/2019,3,Java,12690,0,3.0,1.0,9898,0
120,MDEwOlJlcG9zaXRvcnkxNDUwOTgxNDY=,JessYanCoding/AndroidAutoSize,17/08/2018,4,Java,12612,14,4.0,1.0,1731,1.0
121,MDEwOlJlcG9zaXRvcnkxNDczNDg3Ng==,deeplearning4j/deeplearning4j,27/11/2013,8,Java,12607,0,7.0,2.0,618957,10.0
122,MDEwOlJlcG9zaXRvcnkyOTcwMzg3MQ==,facebook/stetho,22/01/2015,7,Java,12574,13,3.0,1.0,19224,0
123,MDEwOlJlcG9zaXRvcnkyNjI2NzUx,greenrobot/greenDAO,22/10/2011,10,Java,12545,8,4.0,1.0,18545,1.0
124,MDEwOlJlcG9zaXRvcnkyNTQ1OTQwMA==,pinpoint-apm/pinpoint,20/10/2014,7,Java,12370,50,4.0,1.0,170417,0
125,MDEwOlJlcG9zaXRvcnkxNzQ3NjU2NDc=,heibaiying/BigData-Notes,10/03/2019,3,Java,12362,0,5.0,1.0,2145,0
126,MDEwOlJlcG9zaXRvcnk4ODExMTk5MA==,zhihu/Matisse,13/04/2017,5,Java,12326,15,5.0,1.0,3418,0
127,MDEwOlJlcG9zaXRvcnk3NTI3NzAwMw==,thingsboard/thingsboard,01/12/2016,5,Java,12319,50,5.0,1.0,145285,0
128,MDEwOlJlcG9zaXRvcnkyMzMwMTQ2OA==,daimajia/AndroidSwipeLayout,25/08/2014,8,Java,12258,18,2.0,1.0,2770,0
129,MDEwOlJlcG9zaXRvcnkyNzk1NDkyNw==,ben-manes/caffeine,13/12/2014,7,Java,12188,61,3.0,1.0,73740,0
130,MDEwOlJlcG9zaXRvcnkyMTExMzM0OQ==,daimajia/AndroidViewAnimations,23/06/2014,8,Java,12179,9,2.0,2.0,965,0
131,MDEwOlJlcG9zaXRvcnk4NzU5MTMz,Netflix/zuul,13/03/2013,9,Java,12165,5,4.0,1.0,18446,1.0
132,MDEwOlJlcG9zaXRvcnk1NjgyOTU4Mg==,youth5201314/banner,22/04/2016,6,Java,12122,0,5.0,2.0,2713,1.0
133,MDEwOlJlcG9zaXRvcnkxMTg0OTc4NDE=,GoogleContainerTools/jib,22/01/2018,4,Java,12121,141,4.0,1.0,35071,0
134,MDEwOlJlcG9zaXRvcnk2MzU4MTg4,apache/druid,23/10/2012,9,Java,12028,49,5.0,1.0,122365.0,0
135,MDEwOlJlcG9zaXRvcnk0NTM2Mzk1NQ==,lionsoul2014/ip2region,02/11/2015,6,Java,11976,0,2.0,1.0,2335,1.0
136,MDEwOlJlcG9zaXRvcnk2Nzc3ODAzMQ==,seaswalker/spring-analysis,09/09/2016,6,Java,11958,0,2.0,1.0,378,0
137,MDEwOlJlcG9zaXRvcnkxMTc5NjU5NzI=,alibaba/DataX,18/01/2018,4,Java,11929,1,3.0,1.0,61941,0
138,MDEwOlJlcG9zaXRvcnk3Nzk5MzU3OA==,LuckSiege/PictureSelector,04/01/2017,5,Java,11881,111,2.0,1.0,38832,0
139,MDEwOlJlcG9zaXRvcnk4MDE3MTA3OA==,hyb1996/Auto.js,27/01/2017,5,Java,11879,0,4.0,1.0,48388,1.0
140,MDEwOlJlcG9zaXRvcnkzMzA4Mjg2OA==,sqshq/piggymetrics,29/03/2015,7,Java,11865,2,5.0,1.0,1881,0
141,MDEwOlJlcG9zaXRvcnkzMjg0NDQ1Ng==,java-decompiler/jd-gui,25/03/2015,7,Java,11599,18,3.0,1.0,19309,1.0
142,MDEwOlJlcG9zaXRvcnk5ODk3ODg3OQ==,Tencent/VasSonic,01/08/2017,5,Java,11584,10,2.0,1.0,7421,0
143,MDEwOlJlcG9zaXRvcnk2MjExNzgxMg==,apache/pulsar,28/06/2016,6,Java,11546,59,4.0,1.0,120104.0,1.0
144,MDEwOlJlcG9zaXRvcnk1MTk4MDQx,Netflix/eureka,26/07/2012,10,Java,11459,142,4.0,1.0,32742,0
145,MDEwOlJlcG9zaXRvcnkyMjE4NjI=,projectlombok/lombok,08/06/2009,13,Java,11451,3,2.0,1.0,101939,0
146,MDEwOlJlcG9zaXRvcnkyMDI3NTU0NQ==,google/guice,28/05/2014,8,Java,11433,15,3.0,1.0,78644,0
147,MDEwOlJlcG9zaXRvcnkxODEwMTI0MDY=,macrozheng/mall-learning,12/04/2019,3,Java,11340,0,3.0,1.0,159135,1.5
148,MDEwOlJlcG9zaXRvcnkyMDY1MTY3Mg==,pagehelper/Mybatis-PageHelper,09/06/2014,8,Java,11331,10,6.0,1.0,6909,0
149,MDEwOlJlcG9zaXRvcnk0MDg0OTA4,realm/realm-java,20/04/2012,10,Java,11318,0,-,-,-,-
150,MDEwOlJlcG9zaXRvcnk0OTA2ODI0Mw==,Yalantis/uCrop,05/01/2016,6,Java,11315,15,3.0,1.0,4643,1.0
151,MDEwOlJlcG9zaXRvcnkyMjI1NDg1Ng==,codecentric/spring-boot-admin,25/07/2014,8,Java,11163,84,6.0,1.0,12579,0
